"Date","Check phone count","Screen on time"
"28/09/2019","63","6:04:37"
"27/09/2019","61","3:31:31"
"26/09/2019","103","6:03:26"
"25/09/2019","70","4:47:48"
"24/09/2019","70","5:24:17"
"23/09/2019","83","3:43:51"
"22/09/2019","74","4:54:27"
"21/09/2019","53","7:09:46"
"20/09/2019","81","4:35:56"
"19/09/2019","71","4:56:16"
"18/09/2019","100","4:55:35"
"17/09/2019","81","6:35:45"
"16/09/2019","60","5:25:12"
"15/09/2019","68","5:17:22"
"14/09/2019","83","2:51:02"
"13/09/2019","93","7:41:37"
"12/09/2019","70","4:35:26"
"11/09/2019","83","7:24:06"
"10/09/2019","81","5:02:02"
"09/09/2019","81","6:15:44"
"08/09/2019","69","6:14:11"
"07/09/2019","84","7:04:27"
"06/09/2019","80","6:48:28"
"05/09/2019","79","6:33:23"
"04/09/2019","55","5:16:44"
"03/09/2019","79","6:04:16"
"02/09/2019","70","7:21:15"
"01/09/2019","121","3:55:56"
"31/08/2019","90","6:53:43"
"30/08/2019","69","7:45:25"
"29/08/2019","58","3:56:34"
"28/08/2019","73","5:32:34"
"27/08/2019","60","4:49:13"
"26/08/2019","93","5:47:29"
"25/08/2019","114","4:36:27"
"24/08/2019","107","4:10:35"
"23/08/2019","77","6:07:13"
"22/08/2019","158","5:58:09"
"21/08/2019","92","6:03:01"
"20/08/2019","69","6:10:46"
"19/08/2019","50","4:24:46"
"18/08/2019","62","7:35:19"
"17/08/2019","61","9:24:33"
"16/08/2019","83","5:54:50"
"15/08/2019","83","6:43:34"
"14/08/2019","91","5:39:46"
"13/08/2019","80","5:46:56"
"12/08/2019","53","5:26:19"
"11/08/2019","81","4:35:58"
"10/08/2019","69","3:06:10"
"09/08/2019","79","4:39:07"
"08/08/2019","65","5:13:35"
"07/08/2019","83","3:42:42"
"06/08/2019","67","4:29:27"
"05/08/2019","73","4:02:18"
"04/08/2019","57","4:30:18"
"03/08/2019","63","9:30:01"
"02/08/2019","92","6:07:58"
"01/08/2019","64","5:37:12"
"31/07/2019","70","4:25:26"
"30/07/2019","66","5:32:03"
"29/07/2019","59","4:48:43"
"28/07/2019","81","3:39:34"
"27/07/2019","64","3:49:00"
"26/07/2019","63","5:47:43"
"25/07/2019","57","5:19:29"
"24/07/2019","65","5:22:45"
"23/07/2019","91","4:53:25"
"22/07/2019","82","4:54:36"
"21/07/2019","64","5:48:20"
"20/07/2019","110","7:46:52"
"19/07/2019","68","5:48:51"
"18/07/2019","64","6:48:43"
"17/07/2019","58","5:19:17"
"16/07/2019","71","5:36:16"
"15/07/2019","90","7:53:29"
"14/07/2019","92","7:53:56"
"13/07/2019","76","3:54:05"
"12/07/2019","65","4:24:32"
"11/07/2019","87","6:59:12"
"10/07/2019","92","6:08:02"
"09/07/2019","69","7:45:22"
"08/07/2019","119","4:59:14"
"07/07/2019","98","4:11:54"
"06/07/2019","96","4:01:14"
"05/07/2019","104","7:58:23"
"04/07/2019","36","3:35:33"
"03/07/2019","74","8:40:21"
"02/07/2019","83","6:15:16"
"01/07/2019","76","6:15:09"
"30/06/2019","69","7:17:21"
"29/06/2019","70","7:28:32"
"28/06/2019","60","4:02:33"
"27/06/2019","56","7:51:13"
"26/06/2019","75","6:15:42"
"25/06/2019","59","6:03:45"
"24/06/2019","37","4:58:25"
"23/06/2019","74","6:38:16"
"22/06/2019","80","7:17:22"
"21/06/2019","61","4:51:40"
"20/06/2019","64","4:37:30"
"19/06/2019","52","6:39:43"
"18/06/2019","49","5:28:29"
"17/06/2019","56","5:09:57"
"16/06/2019","105","4:54:08"
"15/06/2019","71","5:08:02"
"14/06/2019","68","6:28:35"
"13/06/2019","82","4:56:10"
"12/06/2019","72","6:10:34"
"11/06/2019","78","5:18:00"
"10/06/2019","79","4:22:21"
"09/06/2019","66","7:11:13"
"08/06/2019","80","6:10:35"
"07/06/2019","69","5:33:33"
"06/06/2019","55","6:30:48"
"05/06/2019","45","7:04:15"
"04/06/2019","75","5:07:30"
"03/06/2019","82","4:34:45"
"02/06/2019","53","5:12:32"
"01/06/2019","73","5:33:07"
"31/05/2019","79","5:37:58"
"30/05/2019","68","8:37:01"
"29/05/2019","63","6:04:37"
"28/05/2019","64","5:18:12"
"27/05/2019","68","6:14:55"
"26/05/2019","52","6:55:16"
"25/05/2019","58","3:34:42"
"24/05/2019","70","7:44:25"
"23/05/2019","49","5:56:30"
"22/05/2019","78","7:31:39"
"21/05/2019","47","12122:17:48"
"20/05/2019","34","3:17:24"
"19/05/2019","80","5:27:18"
"18/05/2019","68","4:37:25"
"17/05/2019","33","2:51:12"
""
"Check device history, 27 November 2019 - 1 May 2019"
"Created by App Usage on Wednesday, 27 November 2019, 16:27"
