App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time,User_Engagement_Level
Amazon Kindle,2019-07-23,16.0,91.0,0 days 04:53:25,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-24,39.0,65.0,0 days 05:22:45,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-26,42.0,63.0,0 days 05:47:43,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-28,6.0,81.0,0 days 03:39:34,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-29,8.0,59.0,0 days 04:48:43,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-30,18.0,66.0,0 days 05:32:03,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-07-31,15.0,70.0,0 days 04:25:26,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-01,33.0,64.0,0 days 05:37:12,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-03,43.0,63.0,0 days 09:30:01,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-08-05,8.0,73.0,0 days 04:02:18,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-06,12.0,67.0,0 days 04:29:27,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-07,6.0,83.0,0 days 03:42:42,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-08,19.0,65.0,0 days 05:13:35,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-09,16.0,79.0,0 days 04:39:07,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-12,19.0,53.0,0 days 05:26:19,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-13,54.0,80.0,0 days 05:46:56,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-14,9.0,91.0,0 days 05:39:46,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-20,9.0,69.0,0 days 06:10:46,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-21,24.0,92.0,0 days 06:03:01,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-23,21.0,77.0,0 days 06:07:13,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-25,2.0,114.0,0 days 04:36:27,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-08-26,10.0,93.0,0 days 05:47:29,26:26:56,411.0,0:3:51,Moderately Engaged
